,Event.Id,Number.of.Engines,Injury.Severity,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Uninjured,Purpose.of.flight,Weather.Condition,Aircraft_Model
19006,20181201X45922,2.0,Fatal,2,0,0.0,Personal,VMC,CESSNA 335
19007,20181206X02227,,,0,0,0.0,,,BOMBARDIER CL 600 2B19
19008,20181204X05247,1.0,Non-Fatal,0,2,0.0,Personal,VMC,CESSNA 172P
19009,20181206X51048,2.0,Non-Fatal,0,0,162.0,,IMC,AIRBUS A320
19010,20190116X32038,,,0,0,0.0,,,EMBRAER EMB720
19011,20181204X03049,1.0,Non-Fatal,0,0,2.0,Instructional,IMC,CESSNA 182
19012,20181204X93009,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 172
19013,20181205X22156,,Fatal,4,0,0.0,Personal,,CESSNA U206
19014,20181206X53303,2.0,Non-Fatal,0,0,146.0,,VMC,BOEING 737
19015,20181206X81036,2.0,Non-Fatal,0,2,92.0,,Unk,BOEING 767
19016,20181212X01623,1.0,Non-Fatal,0,0,1.0,Personal,VMC,LANCAIR LC41
19017,20181206X45049,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,PIPER PA28
19018,20181206X03743,1.0,Non-Fatal,0,0,1.0,Personal,VMC,BEECH 36
19019,20181206X45642,2.0,Non-Fatal,0,0,117.0,,,BOEING 737
19020,20181211X40757,,Fatal,1,0,0.0,,,PILATUS BN2A-20
19021,20181212X94324,,Fatal,2,0,0.0,,,CESSNA 177
19022,20181208X53536,1.0,Non-Fatal,0,1,0.0,Personal,VMC,ZENAIR CH 750 CRUZER
19023,20181209X95930,1.0,Non-Fatal,0,0,0.0,Personal,,CESSNA P210
19024,20181209X33123,1.0,Non-Fatal,0,2,2.0,Personal,VMC,MOONEY M20K
19025,20181210X21905,1.0,Non-Fatal,0,0,1.0,Personal,VMC,ZLIN Z143
19026,20190129X31515,2.0,,0,0,0.0,,,AIRBUS A320
19027,20190318X13918,,Fatal,3,0,0.0,,,CIRRUS SR22
19028,20181212X75337,,,0,0,0.0,,,BOEING 777
19029,20181213X10104,,,0,0,0.0,,,AIRBUS A330
19030,20181212X03511,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,PIPER PA28
19031,20181214X73427,,,0,0,0.0,,VMC,BOEING 737
19032,20181214X90303,1.0,Non-Fatal,0,0,1.0,Personal,VMC,BEECH 36
19033,20181212X03941,1.0,Non-Fatal,0,0,0.0,Public Aircraft,VMC,HAWKER HAWKER HNTR FMK 58
19034,20181213X41114,1.0,Non-Fatal,0,1,0.0,Personal,VMC,CZECH SPORT AIRCRAFT AS PIPER SPORT
19035,20181213X45528,1.0,Fatal,1,0,0.0,Personal,VMC,PIPER PA24
19036,20181220X84552,,,0,0,0.0,,,BOEING 747
19037,20181214X02810,1.0,Fatal,1,0,0.0,Personal,VMC,EIPPER QUICKSILVER
19038,20181217X13159,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA A185
19039,20181217X25746,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 180
19040,20181217X50247,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 120
19041,20181217X84416,1.0,Non-Fatal,0,0,0.0,Personal,VMC,BRANDT SONEX
19042,20181220X61418,2.0,Non-Fatal,0,0,4.0,Positioning,,LEARJET 35
19043,20181217X10943,1.0,Non-Fatal,0,0,1.0,Positioning,VMC,CESSNA 170
19044,20181217X91339,1.0,Non-Fatal,0,0,2.0,Personal,VMC,RANS S12
19045,20181217X22552,1.0,Fatal,1,0,0.0,Personal,VMC,PIPER PA-24-250
19046,20181217X40520,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA 152
19047,20181218X90123,1.0,Fatal,1,0,0.0,Personal,VMC,SABERWING SABERWING
19048,20190212X72918,,Non-Fatal,0,0,2.0,,,CIRRUS SR22
19049,20181219X93901,1.0,Non-Fatal,0,0,3.0,Personal,VMC,BEECH 36
19050,20181220X75331,1.0,Non-Fatal,0,2,0.0,Flight Test,VMC,DIAMOND DA20
19051,20190128X91014,,Non-Fatal,0,0,1.0,,,ROCKWELL S2R
19052,20181219X11357,1.0,Fatal,3,0,0.0,Personal,VMC,PIPER PA28
19053,20181220X03836,1.0,Fatal,2,0,0.0,Personal,IMC,PIPER PA46
19054,20181220X31531,2.0,Fatal,4,0,0.0,Personal,IMC,CESSNA 560
19055,20181221X55830,,,0,0,0.0,,,BOEING 777
19056,20181221X93113,1.0,Non-Fatal,0,1,0.0,Personal,VMC,CESSNA 172
19057,20181223X85212,1.0,Non-Fatal,0,0,1.0,Aerial Observation,VMC,CESSNA 172
19058,20181223X92508,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 182
19059,20181231X83632,,,0,0,0.0,,,BOEING 747-428
19060,20190107X35011,1.0,Non-Fatal,0,0,1.0,Personal,VMC,TAYLORCRAFT L 2M
19061,20181222X82710,1.0,Non-Fatal,0,1,0.0,Personal,VMC,CZECH SPORT SPORTCRUISER
19062,20181222X83505,1.0,Fatal,1,0,0.0,Instructional,VMC,BRM AERO BRISTELL S-LSA
19063,20181222X04812,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,PIPER PA28
19064,20181223X04143,1.0,Non-Fatal,0,0,2.0,Personal,VMC,CESSNA A185
19065,20181227X23436,1.0,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA 182
19066,20181226X85527,1.0,Non-Fatal,0,0,4.0,Instructional,VMC,CESSNA 172
19067,20181225X31743,1.0,Non-Fatal,0,0,1.0,Personal,VMC,VANS RV 6
19068,20181226X84625,2.0,Fatal,2,0,0.0,Personal,IMC,BEECH 58
19069,20181228X64015,,,0,0,0.0,,,AIRBUS A220
19070,20181228X04509,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 172
19071,20181229X05600,1.0,Non-Fatal,0,1,3.0,Personal,VMC,CESSNA 180
19072,20181231X23238,1.0,Non-Fatal,0,2,0.0,Personal,VMC,CESSNA 152
19073,20181231X34117,1.0,Fatal,1,0,0.0,Personal,VMC,CESSNA R172K
19074,20181231X83429,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 172
19075,20190108X15022,1.0,Non-Fatal,0,0,4.0,Personal,VMC,PIPER PA46
19076,20181231X45242,2.0,Fatal,1,0,0.0,Personal,VMC,PIPER PA 23
19077,20181231X63848,2.0,,0,0,0.0,,IMC,BOEING 757
19078,20181231X83152,,Non-Fatal,0,0,1.0,Personal,VMC,CESSNA LC41
19079,20190102X85845,1.0,Non-Fatal,0,0,1.0,Instructional,VMC,CESSNA 172
19080,20190103X34023,1.0,Fatal,1,1,0.0,Personal,VMC,PROGRESSIVE AERODYNE SEAREY
19081,20190107X60530,1.0,Non-Fatal,0,0,0.0,Personal,VMC,CESSNA 180
19082,20190103X62753,1.0,Non-Fatal,0,0,2.0,Personal,VMC,PIPER PA 18-135
19083,20190104X82250,1.0,Non-Fatal,0,0,2.0,Instructional,VMC,PIPER PA24
19084,20190107X61104,1.0,Non-Fatal,0,0,1.0,Personal,VMC,ZLIN SAVAGE
19085,20190129X21012,2.0,,0,0,0.0,,,AIRBUS A320
19086,20210310102738,,Non-Fatal,0,0,119.0,,,BOEING 737
19087,20190104X22004,1.0,Non-Fatal,0,0,3.0,Personal,VMC,BEECH 24
19088,20190107X22748,1.0,Non-Fatal,0,1,0.0,Personal,VMC,LUSCOMBE 8
